year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,totrain
1987,410032,100,4.70E+07,35000,,,12,0,0,100
1988,410032,131,4.30E+07,37000,,,8,0,0,50
1989,410032,123,4.90E+07,39000,,,8,0,0,50
1987,410440,12,1560000,10500,,,12,0,0,12
1988,410440,13,1970000,11000,,,12,0,0,13
1989,410440,14,2350000,11500,,,10,0,0,14
1987,410495,20,750000,17680,,,50,0,0,15
1988,410495,25,110000,18720,,,50,0,0,10
1989,410495,24,950000,19760,,,50,0,0,20
1987,410500,200,2.37E+07,13729,,,0,0,0,0
1988,410500,155,1.97E+07,14287,,,0,0,0,0
1989,410500,80,2.60E+07,15758,,,24,0,0,20
1987,410501,,6000000,,,,0,0,0,10
1988,410501,,8000000,,,,0,0,0,20
1989,410501,,1.00E+07,,,,0,0,0,25
1987,410509,,,,,,0,0,0,0
1988,410509,,2800000,18000,,,0,0,0,0
1989,410509,20,3400000,18500,,,0,0,0,0
1987,410513,15,1413900,18465,,,0,0,0,0
1988,410513,16,1869348,18972,,,0,0,0,0
1989,410513,16,1857765,19589,,,20,0,0,16
1987,410517,24,,13000,,,0,1,0,0
1988,410517,20,,12168,,,0,1,0,0
1989,410517,18,,11960,,,0,1,0,0
1987,410518,48,2160900,14352,,,14,0,0,3
1988,410518,47,2454500,16328,,,14,0,0,3
1989,410518,66,3359800,17555,,,14,0,0,4
1987,410521,17,1453081,16454,,,150,0,0,5
1988,410521,16,1546911,18529,,,100,0,0,3
1989,410521,14,1672366,26428,,,0,0,0,0
1987,410523,70,8000000,19760,0.06,,40,0,0,35
1988,410523,85,1.10E+07,22360,0.05,,40,0,0,40
1989,410523,98,1.50E+07,23920,0.05,,60,0,0,40
1987,410529,45,1535242,20000,,,0,0,0,0
1988,410529,47,3209188,22000,,,0,0,0,0
1989,410529,51,4030352,23650,,,2,0,0,2
1987,410531,200,1.00E+07,17500,,5,0,1,0,0
1988,410531,200,1.00E+07,18700,,4,20,1,0,6
1989,410531,190,9000000,18300,,2.22,20,1,0,10
1987,410533,14,1600000,11500,,,68,0,0,3
1988,410533,12,900000,13000,,,75,0,0,5
1989,410533,16,1300000,14700,,,35,0,0,9
1987,410535,10,420664,4237,,,0,0,0,0
1988,410535,11,544602,7484,,,0,0,0,0
1989,410535,9,495331,9548,,,0,0,0,0
1987,410536,15,1502502,11742,,,12,0,0,2
1988,410536,16,1840912,12740,,,12,0,0,2
1989,410536,18,2273869,13700,,,8,0,0,3
1987,410538,,,19760,2.64,,0,1,0,0
1988,410538,,6276271,20800,2.74,,0,1,0,0
1989,410538,60,5286605,20800,2.54,,30,1,0,50
1987,410540,50,5200000,20000,,,0,0,0,0
1988,410540,50,6500000,23000,,,0,0,0,0
1989,410540,55,5600000,25000,,,0,0,0,0
1987,410544,30,,19760,,,0,0,0,0
1988,410544,32,,20280,,,10,0,0,4
1989,410544,34,,20800,,,10,0,0,6
1987,410546,153,1.00E+07,12500,,,8,0,0,7
1988,410546,134,1.10E+07,13000,,,8,0,0,6
1989,410546,146,1.20E+07,13500,,,40,0,0,28
1987,410547,20,2300000,20000,,10,0,0,0,0
1988,410547,23,2500000,23000,,10,0,0,0,0
1989,410547,25,3000000,25000,,10,48,0,0,1
1987,410556,,,,,,0,0,0,0
1988,410556,,,,,,0,0,0,0
1989,410556,131,7588770,16640,,,0,0,0,0
1987,410560,22,725000,9000,,,0,0,0,0
1988,410560,25,785000,9000,,,0,0,0,0
1989,410560,23,785000,10000,,,0,0,0,0
1987,410561,6,501859,,,,0,0,0,0
1988,410561,6,580415,,,,0,0,0,0
1989,410561,9,735442,,,,64,0,0,1
1987,410562,15,4000000,32000,,,10,0,0,2
1988,410562,18,5000000,34000,,,10,0,0,2
1989,410562,19,7000000,38000,,,25,0,0,6
1987,410563,73,5300000,21500,6,,0,1,0,0
1988,410563,76,5800000,22200,7,,0,1,0,0
1989,410563,80,6400000,23000,5,,50,1,0,8
1987,410564,160,,20000,,4.3,20,0,0,15
1988,410564,150,,21000,,4.1,20,0,0,20
1989,410564,150,,22000,,4,25,0,0,35
1987,410565,90,,20620,21,,0,1,0,0
1988,410565,112,2.18E+07,20180,11,,0,1,0,0
1989,410565,128,2.58E+07,21500,0.4,,16,1,0,128
1987,410566,14,2101581,14850,7,,8,0,0,12
1988,410566,16,2400723,18100,5,,3,0,0,10
1989,410566,13,2470633,20500,4.5,,4,0,0,10
1987,410567,40,3000000,10000,1,0.5,0,0,0,0
1988,410567,48,3800000,11000,0.5,0.25,0,0,0,0
1989,410567,50,3100000,11500,0.28,0.13,16,0,0,50
1987,410569,20,,26000,,,0,0,0,0
1988,410569,24,,28000,,,0,0,0,0
1989,410569,30,,30000,,,0,0,0,0
1987,410571,17,755050,10400,,0.01,25,0,0,17
1988,410571,15,1102723,10400,,0.01,25,0,0,15
1989,410571,20,1073785,10400,,0.01,25,0,0,10
1987,410577,75,4750000,16120,1.68,1.89,3,0,0,30
1988,410577,80,5100000,16432,1.57,1.76,4,0,0,35
1989,410577,94,5500000,16640,1.64,1.82,4,0,0,35
1987,410586,116,1.10E+07,23500,,,47,0,0,96
1988,410586,114,1.10E+07,24000,,,47,0,0,94
1989,410586,119,1.10E+07,24600,,,47,0,0,99
1987,410591,25,,12180,,,0,0,0,0
1988,410591,33,,13000,,,50,0,0,1
1989,410591,37,,14500,,,40,0,0,2
1987,410592,20,,,30,40,,0,0,20
1988,410592,20,,,24,27,,0,0,20
1989,410592,10,,,20,15,,0,0,10
1987,410593,5,3500000,,1,,0,0,0,0
1988,410593,5,3800000,,1,,0,0,0,0
1989,410593,5,4000000,,1,,0,0,0,0
1987,410596,8,990400,12480,10,,10,0,0,8
1988,410596,16,1166100,13520,6,,12,0,0,16
1989,410596,20,1815900,14560,4,,14,0,0,20
1987,410603,10,1212478,12700,,,105,0,0,4
1988,410603,14,1159622,13600,,,105,0,0,3
1989,410603,17,1612170,14900,,,,0,0,0
1987,410604,60,,8320,,,0,0,0,0
1988,410604,100,,8940,,,0,0,0,0
1989,410604,190,,10400,,,0,0,0,0
1987,410606,124,1.05E+07,,0.66,,10,0,0,43
1988,410606,127,1.22E+07,14538,0.34,,8,0,0,30
1989,410606,128,1.20E+07,14865,0.39,,28,0,0,87
1987,410609,22,1650831,24900,,,0,0,0,0
1988,410609,37,1817961,23000,,,0,0,0,0
1989,410609,44,1642441,23200,,,0,0,0,0
1987,410612,60,7000000,8840,,,12,0,0,60
1988,410612,65,8500000,9880,,,12,0,0,65
1989,410612,70,1.10E+07,10920,,,12,0,0,70
1987,410626,27,4600000,18000,0.87,,24,1,0,3
1988,410626,28,4900000,19000,0.82,,16,1,0,2
1989,410626,30,5600000,21000,0.71,,32,1,0,6
1987,410627,25,2900000,21830,,,,1,0,25
1988,410627,25,2800000,22454,,,,1,0,25
1989,410627,25,2900000,23078,,,,1,0,25
1987,410629,16,1100000,18500,1.2,0.58,,0,0,16
1988,410629,19,2050000,21000,0.53,0.25,,0,0,19
1989,410629,23,2260000,23500,0.49,0.36,,0,0,23
1987,410635,100,2.00E+07,22000,,,0,1,0,0
1988,410635,95,1.80E+07,22000,,,1,1,0,1
1989,410635,85,1.60E+07,22000,,,20,1,0,50
1987,410636,8,386807,14110,,,,0,0,8
1988,410636,10,734613,14040,,,,0,0,10
1989,410636,8,518842,14126,,,,0,0,8
1987,410639,135,1.40E+07,20384,,,1,1,0,50
1988,410639,135,1.50E+07,20800,,,3,1,0,75
1989,410639,144,1.55E+07,20592,,,5,1,0,100
1987,410640,13,1656000,19266,,,240,0,0,3
1988,410640,11,1527000,20867,,,200,0,0,2
1989,410640,13,1454000,25154,,,200,0,0,2
1987,410641,,3600000,,,,,0,0,
1988,410641,,3900000,,,,,0,0,
1989,410641,,5200000,,,,,0,0,
1987,410642,,,,,,0,0,0,0
1988,410642,,,,,,45,0,0,25
1989,410642,,,,,,45,0,0,25
1987,410649,30,2100000,25500,,,,0,0,30
1988,410649,27,2252000,26000,,,,0,0,27
1989,410649,24,1866064,28000,,,,0,0,24
1987,410653,14,1950000,16000,1.06,,,1,0,14
1988,410653,13,1850000,17000,1.03,,,1,0,13
1989,410653,12,1550000,18000,1.14,,,1,0,12
1987,410665,,,,0.05,0.06,0,0,0,0
