Year,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,Portfolio6,Portfolio7,Portfolio8,Portfolio9,Portfolio10,Portfolio11,Portfolio12,Portfolio13,Portfolio14,Portfolio15,Portfolio16,Portfolio17,Portfolio18,Portfolio19,Portfolio20,Portfolio21,Portfolio22,Portfolio23,Portfolio24,Portfolio25,Portfolio26,Portfolio27,Portfolio28,Portfolio29,Portfolio30,Portfolio31,Portfolio32
1963.5,-0.6303,-1.3831,-0.8584,-0.4752,3.0868,-0.229,-0.514,1.8833,-0.9524,-1.9358,2.2221,-1.5476,-2.3904,-0.1962,13.4953,2.7106,1.8018,-0.3969,-0.9998,0.1553,1.7109,0.0724,-0.1627,0.1853,0.6341,0.7,1.4714,0.5163,-1.2438,-0.1809,-0.1078,-0.6712
1963.583333,2.1275,9.7474,2.6705,5.199,4.9748,5.3315,4.3054,5.4376,1.731,4.0029,5.6458,5.8969,6.9951,5.2414,12.41,12.6767,16.3717,5.6487,7.2521,5.8085,2.1484,4.6768,4.9391,5.3859,3.851,4.9008,3.7275,6.025,6.7866,10.2469,4.9839,8.1044
1963.666667,-1.4491,-2.1223,-0.6562,-2.7478,-1.5514,2.0085,-0.7079,-1.5795,-1.8127,-1.827,-4.2746,-4.977,-1.2637,-0.8032,-1.1625,-4.6962,-4.5627,2.6954,-1.3249,-1.0535,-3.8938,0.7542,-2.436,-4.6588,-2.2603,-1.2649,-1.0634,-4.0657,-1.2221,0.1073,-0.6151,-2.4192
1963.75,-2.1709,1.4728,2.681,1.208,-0.3104,1.7763,1.0502,2.8078,1.5738,0.9798,0.1074,9.7216,3.8569,2.5706,0.2977,4.8649,-7.1713,0.2341,2.5584,6.9272,-2.4213,2.7799,2.4508,0.2058,2.3818,-0.606,2.9504,2.8116,1.1834,5.9007,8.5468,2.8353
1963.833333,-5.6849,1.0131,-2.4075,-2.6606,-4.1675,-0.7733,-0.781,0.5658,-0.2538,-0.022,-0.3149,0.0248,-0.6527,-1.4519,-0.9368,1.4635,-1.2876,-1.1647,-0.0714,-1.7442,-1.6909,2.6664,-0.5078,1.1336,0.2453,-2.6463,-0.5497,2.7447,-1.0409,-2.0949,0.985,1.1559
1963.916667,-3.3542,-1.639,-0.6652,0.7612,2.7973,1.4057,2.2849,-1.3074,-2.2618,1.0976,3.2736,2.9545,-0.3656,-0.2608,-2.8359,-1.4982,-2.3652,1.7661,2.4718,2.3818,3.3088,0.6013,2.778,1.9853,4.6375,3.0363,1.1556,0.1292,3.537,-1.2592,2.9668,-1.1745
1964,0.1538,-5.5487,3.5764,2.8705,7.0934,3.0057,1.3536,3.6618,0.1599,4.7774,5.74,4.186,3.8849,4.1631,6.959,20.9875,4.2056,4.1486,0.165,2.9117,3.5011,3.088,1.4568,2.0952,5.2461,1.7023,0.7902,2.7416,2.2407,1.0369,1.7833,4.3725
1964.083333,5.293,2.7643,0.2166,2.616,6.0834,1.3447,0.6616,2.8277,1.8789,0.9367,4.8918,3.8409,4.458,2.0101,4.099,24.3837,4.0359,1.3628,0.8809,2.1149,1.7815,0.1715,0.8664,2.3152,0.6916,1.5547,3.6453,2.5049,3.1379,6.7922,5.1009,10.3947
1964.166667,-0.1131,0.691,1.6377,0.828,-0.7277,3.5597,5.1509,3.9787,7.4457,5.9985,5.7187,13.7796,6.5443,5.7252,-10.3974,19.4613,-15.0862,-0.0382,-0.2741,1.4837,-0.4738,-1.1616,2.9943,4.897,3.0994,3.608,1.7783,4.1873,3.9834,3.4267,4.8127,4.1777
1964.25,-0.0462,0.6065,-2.5315,-1.655,1.9013,0.8445,0.4618,0.0459,-3.7921,-1.6571,-6.192,-1.2986,-1.0441,0.4003,9.3326,-10.7476,-3.5533,1.133,-1.0481,-0.3152,6.957,1.3343,0.3014,0.0932,1.3056,-0.5975,-1.0374,-0.4856,1.4242,1.8723,-5.1649,-1.6933
1964.333333,2.9344,1.8802,-0.0932,0.0157,8.1571,0.0744,0.3186,3.1552,1.5575,0.5561,1.7392,9.3627,1.8255,1.7291,10.8914,3.2361,30.5263,4.7172,0.4507,2.3364,0.4237,-0.4306,1.8734,0.09,1.3601,0.8076,-0.9028,4.0773,3.479,4.3149,5.5291,-1.0294
1964.416667,-0.4059,8.9868,1.2988,1.7177,-0.7856,0.8305,0.8782,2.757,0.9458,1.5483,0.6655,6.6928,2.474,1.7725,7.5594,-2.5916,6.4516,3.2057,2.3269,0.4778,1.7779,4.5856,1.3334,1.2666,0.0825,2.6687,2.479,-1.5169,1.8448,1.7383,-3.742,0.5979
1964.5,1.5314,5.7986,2.615,1.4482,4.2469,2.3477,2.713,3.0974,8.0967,3.5126,3.5238,6.9937,0.6855,1.4701,4.9757,4.0603,-4.5455,0.9276,3.4556,2.3802,2.7117,0.3719,3.4516,2.5335,2.2897,4.6161,2.4825,3.8956,1.8122,-0.2436,0.3835,6.0998
1964.583333,-0.7753,-4.1874,-0.6181,-0.572,-0.0051,2.1969,-0.7627,-0.2784,-2.4533,-0.5573,-1.4794,-3.4847,-0.9313,-2.4436,0.7046,0.0205,-4,0.0659,-1.0882,-1.5082,-1.0472,-1.767,-0.9304,-0.6166,-0.3177,-0.8644,-0.4547,3.7727,-1.5086,2.0795,-1.286,-7.9094
1964.666667,8.9699,5.5098,3.8278,2.5617,5.3054,0.6842,1.5462,5.5829,2.8486,1.7306,4.4417,3.9605,2.6886,2.8039,-0.5852,3.2104,8.3333,2.7402,3.9477,3.1238,3.4412,0.8123,2.9502,2.0631,3.7725,3.3812,4.5649,4.9909,5.3986,2.9868,6.6658,-0.5736
1964.75,-4.8135,1.0171,1.3574,2.391,-0.4693,-0.3287,2.3712,0.9736,1.7163,2.9534,2.0434,5.1735,4.1499,1.6761,6.2329,6.1397,-4.2308,-0.3583,0.1634,-0.1326,6.4862,0.9154,2.2964,-0.0562,0.9355,1.101,-0.5007,-0.4987,1.3,0.0146,2.8098,-3.8462
1964.833333,-0.009,-1.4143,-1.3976,0.9508,-0.7746,-1.0208,-0.4357,-0.8788,-2.7956,1.3578,-0.0743,4.3575,-0.7188,-1.0707,4.8763,1.4601,-7.6305,2.789,1.674,0.232,3.3366,-0.8883,1.3197,2.2626,1.5172,2.2037,0.4306,0.1402,-1.6171,1.1117,-3.1256,-4.68
1964.916667,-0.8343,-0.3515,0.9469,0.3461,1.1272,1.0771,-1.8918,-1.3472,-3.05,-1.1767,-1.0372,-3.7262,-1.2585,0.2095,-6.562,-2.0272,3.513,1.6719,0.7188,1.3283,-1.6943,2.0595,-0.0386,-1.2251,-1.1902,-2.5572,1.7511,0.5103,-1.761,-1.8798,0.1148,-2.5478
1965,5.5858,9.2879,5.2417,6.4997,5.6028,5.7027,6.2503,7.7383,10.3444,5.7666,5.8061,6.0984,6.1371,5.2725,10.4865,15.3126,4.6948,2.4397,4.641,6.2028,-2.662,0.3208,5.4453,2.0599,3.9688,3.8281,3.7548,0.284,4.7288,3.4448,4.4114,3.268
1965.083333,2.9382,-0.0196,5.4636,3.8906,4.4872,2.2248,3.6101,3.0123,3.7621,3.623,4.0243,13.1254,4.4996,5.9312,2.4829,14.655,-2.2026,1.3314,0.9669,0.5765,-3.53,-0.4862,1.2616,1.0107,2.0742,-0.9001,3.9256,1.4541,-0.0932,2.4673,-0.7349,-2.4051
1965.166667,-0.898,3.7448,-0.6142,0.8165,0.5856,1.3205,0.6449,0.1608,-0.9562,1.4245,1.9972,0.303,1.4723,0.6804,0.0293,4.6636,-3.1532,-1.2053,-0.8102,-1.2403,-2.6682,-1.9478,-0.7216,-0.8215,-2.2736,-1.8736,0.163,-1.0547,0.0697,-0.6237,1.3465,0.6565
1965.25,2.8389,1.2334,4.3759,3.7764,2.5965,5.9798,5.397,4.1994,5.9783,2.6818,5.8636,2.0513,6.9448,4.1229,7.9857,10.237,5.5814,7.5694,3.2648,5.155,1.5784,1.8804,1.8338,1.9339,2.5584,3.2807,4.1553,2.943,2.7551,4.5701,6.2788,1.3043
1965.333333,-2.6055,-1.3623,0.0348,0.4486,1.4979,1.2003,-1.0363,-1.4243,-2.1956,2.6417,-1.731,-2.9956,-1.0035,-1.9752,4.1629,3.074,-7.489,-0.7296,-0.922,-0.5915,-0.2195,1.1073,-0.7458,0.5508,0.908,0.2654,-2.1288,0.3314,-0.0719,-1.1796,-5.253,-4.3777
1965.416667,-13.1919,-10.7948,-10.4694,-9.7749,-10.7263,-8.5648,-7.8621,-8.5819,-9.7854,-9.1661,-8.2109,-9.7995,-9.6967,-7.8519,-7.6952,-14.1266,-10.8571,-4.2082,-4.8716,-5.181,-0.9748,-3.2097,-4.6106,-3.6662,-6.0623,-4.543,-6.6092,-8.6162,-5.0542,-5.925,-6.5744,-3.6364
1965.5,1.3836,4.2099,3.6965,1.9009,5.5504,3.6702,3.0441,2.2825,3.5236,2.409,4.1213,3.4614,2.334,5.6564,8.0898,15.0723,3.1059,1.1292,0.88,1.7788,4.0538,0.3663,-0.5021,1.3446,2.2784,-0.1706,4.7706,4.1738,4.1856,3.616,1.7255,8.023
1965.583333,3.3131,8.0143,5.7681,6.5735,7.7988,5.0194,3.7146,6.5133,6.9856,5.412,5.7108,0.8481,4.3991,1.8814,2.9604,4.5386,-0.9093,2.1975,1.6163,4.3225,3.3962,0.2864,2.5798,6.7821,3.8773,1.7967,4.1517,5.576,1.9556,2.061,2.5146,4.0112
1965.666667,1.5827,13.7268,7.8194,3.2854,3.555,0.9728,4.2378,2.7709,6.7135,6.0117,3.7652,3.1994,4.5254,2.5638,7.655,31.8889,7.3336,4.2274,1.5382,4.2089,2.4798,3.5504,2.1766,2.3232,2.4136,0.6838,4.0257,8.5119,4.1456,2.6895,4.6825,2.2916
1965.75,10.3713,7.7721,4.9715,6.4303,6.5813,3.8868,5.2236,6.8669,8.0147,7.1368,5.8711,10.3699,5.0463,9.0692,4.4026,9.7212,-1.2633,-0.0916,2.0183,4.5614,-0.7261,1.436,1.5784,4.6212,3.1486,-0.7968,4.1879,8.7923,4.4464,5.2089,5.5651,0.7254
1965.833333,6.8997,7.072,4.0449,4.5409,3.3015,6.9059,4.8675,6.0304,11.5958,4.8538,4.1536,5.9824,3.1997,8.2104,1.1378,10.2012,-1.1063,-0.4073,1.6535,-0.2772,0.7091,0.1561,-0.1609,0.8257,1.0594,-3.882,6.6684,11.3408,0.056,0.1301,-3.6257,2.524
1965.916667,12.266,3.2015,3.9686,3.1867,4.0725,0.8584,2.0982,5.0686,2.2948,2.2352,6.2683,6.0336,6.7202,4.8796,9.47,-2.4789,2.0479,2.9521,0.8082,0.6843,-0.6735,0.2204,0.7638,0.1389,1.7853,-0.404,-0.9236,-0.4054,2.2202,5.6829,3.8005,0.3793
1966,10.7269,8.1522,5.0523,4.1148,11.2531,6.5695,3.8001,6.0702,6.3085,6.1687,6.0196,2.8455,8.152,8.1537,-2.3209,1.6237,2.7232,-5.7284,-0.8325,0.6854,1.4734,-0.6642,-0.5678,1.5296,0.3155,-0.8898,6.7044,7.7585,5.5293,2.3912,0.959,5.0103
1966.083333,15.0135,6.2071,0.5798,4.0994,4.783,0.4093,2.8564,4.2962,6.6974,1.2579,2.8265,-1.5586,4.5284,0.5229,7.4832,1.611,0.2461,-3.1095,-3.6243,-0.2795,-1.1762,-3.9834,-2.0878,-1.535,-2.5868,-0.1356,-0.6546,2.0338,-1.6927,0.9547,0,1.7
1966.166667,-5.0538,1.8687,-1.0674,-1.6346,1.5548,-4.3518,-3.1536,-3.7678,-6.2235,-2.41,-0.8123,-2.3197,-2.6224,0.8752,-3.4778,32.1295,-6.6078,-0.5071,-0.7142,-1.0374,-3.5868,-2.0976,-1.9915,-2.198,-1.5414,-4.5513,-1.6378,-0.07,-2.6204,-3.2251,-1.2886,-8.636
1966.25,4.2244,7.9327,4.0635,6.4704,6.91,3.7975,5.1917,3.4194,8.4656,7.4789,6.6861,9.5395,3.907,2.504,-5.2016,8.2885,3.3738,3.0777,1.817,2.1802,2.5943,3.7724,1.0071,1.2767,0.4862,0.8718,3.6155,5.5046,2.6434,2.8081,-0.1359,-3.0802
1966.333333,-14.9941,-14.2079,-9.8431,-9.0437,-11.5131,-8.4618,-9.7949,-9.8334,-13.3277,-8.6204,-10.3495,-12.9446,-11.1439,-9.0941,-1.7636,-9.8818,-7.7586,-4.6525,-3.0646,-4.3983,-5.0143,-4.1799,-3.3193,-3.8026,-4.9959,-3.7548,-7.4698,-8.8798,-7.0801,-5.8948,-4.7441,-8.1332
1966.416667,0.0617,1.9822,2.3345,0.1242,3.6854,-0.7221,0.4436,0.4987,-1.2724,1.4411,1.7817,-0.6149,-1.0896,-1.8776,-3.3278,4.7484,-0.7917,-0.008,-1.1917,-2.2586,-2.3461,-2.5182,-2.0582,-1.3494,-2.9525,0.7437,2.338,3.607,1.0274,-0.19,-0.4416,-0.0238
1966.5,-2.8428,-2.4884,-1.2623,-1.7753,-4.5695,-0.5581,-0.8638,-2.2337,0.297,-1.8822,-1.9175,-1.3936,-1.8934,-0.0836,-2.3338,-3.0621,-6.1171,-0.3125,-0.8131,-1.4079,-3.0035,-0.9379,-0.7287,-2.0799,-1.3877,0.1321,-0.1402,-2.5835,-0.0577,0.6458,-1.8605,-10.5128
1966.583333,-13.3991,-14.2013,-10.2047,-11.0847,-11.8795,-8.6383,-9.5634,-8.9326,-10.9334,-11.2152,-9.5563,-6.6828,-9.6106,-9.3946,-11.3389,-8.5338,-1.2823,-5.0019,-8.1813,-7.8204,-8.3704,-7.9108,-7.3412,-9.4463,-4.9427,-7.5202,-6.3512,-15.0879,-7.8949,-5.778,-2.822,4.1834
1966.666667,-1.4013,0.8676,-3.6383,-1.5267,-2.5063,-2.6999,-0.3279,-1.9174,-1.2197,-0.7319,-0.9905,-2.6353,-2.6888,-1.5487,-0.3847,-0.4136,-2.9869,1.9307,-0.6631,-1.5395,2.1219,2.7369,-1.5686,-0.9092,0.3563,0.1453,0.3143,-2.9158,1.2482,-3.036,-4.5383,-6.4246
1966.75,-6.89,-5.5852,-0.6861,-3.8271,-7.0784,1.8103,1.3328,-0.3956,0.1724,1.4677,-0.2102,0.3765,-0.1243,1.1208,-2.1874,-5.3546,-3.0942,7.3626,3.4111,2.4254,10.2044,7.0216,4.6873,-0.2329,9.0259,9.3211,3.1961,-2.0988,5.8238,5.3789,0.6755,9.8507
1966.833333,9.6505,5.6113,5.059,8.6093,9.0745,3.4534,2.9165,6.2698,3.6912,0.2378,0.9678,2.9612,1.9649,-0.0719,-0.0293,0.5005,5.9524,0.553,4.43,4.5821,1.1397,-0.6604,0.1994,5.8142,-2.1949,-2.9533,0.8842,15.0273,0.2241,-3.4432,-4.8738,-4.4565
1966.916667,3.2192,5.705,3.8888,3.7742,3.8386,2.1344,2.0993,1.9073,-1.2424,2.8747,-0.1597,-1.2702,-0.3281,1.3657,3.3901,-4.4532,-7.3911,2.5062,0.8872,-0.9657,-1.296,1.3476,0.9684,3.6387,2.1586,0.8737,1.1926,2.65,-1.0131,4.1944,0.1645,-2.3121
1967,16.4508,24.685,16.1015,19.1915,20.8085,16.917,11.5686,18.9295,19.554,14.6946,19.9988,12.7905,15.9628,18.1553,16.6239,11.8524,11.9472,5.7421,6.1969,8.3961,7.6364,4.5925,7.6406,8.2783,5.7005,5.3466,5.4169,11.8381,10.0371,9.4003,16.0187,17.4556
1967.083333,6.9901,2.3344,2.9276,4.262,4.0906,2.0446,2.1569,3.7285,4.8404,-0.4245,4.3987,6.684,5.4039,0.8289,5.8295,5.7702,0.095,1.7935,2.3365,2.6448,1.5532,-0.5298,0.0044,2,0.2477,-2.2489,1.0364,-2.1994,-1.6509,-0.5229,0.8468,-3.1234
