wage,abil,educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18
12.01923,5.027738,15,0,0,1,0,9,12,12,0,1,1,1,0,0,0,1,7.582914,7.260242
8.912656,2.03717,13,1,0,0,0,8,12,10,1,4,1,1,0,0,0,1,8.595144,9.499537
15.51433,2.475895,15,1,0,0,0,11,12,16,0,2,1,1,0,0,0,1,7.311346,7.311346
13.33333,3.60924,15,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,9.499537,10.16207
11.07011,2.636546,13,1,0,0,0,15,12,15,1,2,1,1,0,0,0,1,7.311346,7.311346
17.48252,3.474334,18,1,0,0,0,8,12,12,0,2,1,1,0,0,0,1,7.311346,7.311346
21.09705,-1.764808,13,1,0,0,0,13,13,12,0,5,1,1,0,0,0,1,7.394907,7.394907
11.6671,-0.1335983,12,0,0,0,1,14,12,12,1,4,0,1,0,0,0,1,7.394907,7.394907
16.96113,2.072431,13,1,0,0,0,9,10,12,1,3,1,1,0,0,0,1,6.641155,5.851309
11.53846,-0.3384597,12,1,0,0,0,9,14,12,0,1,1,1,0,0,0,1,5.851309,6.053333
14.81481,1.38071,12,1,0,0,0,13,9,10,1,2,1,1,0,0,0,1,7.394907,7.394907
20.69917,3.412799,12,1,0,0,0,14,12,16,0,1,0,1,0,0,0,1,7.394907,7.394907
28.68369,4.365496,17,0,0,1,0,4,17,16,0,1,1,1,0,0,0,1,5.851309,6.053333
12.5,1.090446,13,1,0,0,0,8,16,16,0,3,1,1,0,0,0,1,6.053333,6.125471
35.87115,5.082784,17,1,0,0,0,7,16,18,0,2,1,1,0,0,0,1,7.394907,7.394907
23.40322,2.129054,16,1,0,0,0,10,5,4,0,2,1,1,0,0,0,1,7.394907,7.394907
16.64145,3.469769,16,1,0,0,0,10,10,6,0,1,1,1,0,0,0,1,7.394907,7.394907
16.0451,4.268983,15,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,7.394907,6.641155
12.01923,2.417693,15,1,0,0,0,8,11,9,0,2,1,1,0,0,0,1,6.641155,5.851309
8.534851,3.125001,20,1,0,0,0,6,11,8,0,2,1,0,0,0,1,1,7.394907,7.394907
16.15385,4.236644,14,1,0,0,0,11,10,12,0,2,0,1,0,0,0,1,7.582914,7.582914
14.4609,5.316357,15,1,0,0,0,8,16,12,0,2,1,1,0,0,0,1,6.641155,5.851309
19.77612,2.63304,13,1,0,0,0,13,14,15,0,7,1,1,0,0,0,1,7.394907,7.394907
13.99491,3.046665,16,1,0,0,0,8,13,14,0,3,1,0,0,0,1,1,7.394907,7.394907
17.92453,2.57083,11,1,0,0,0,12,9,12,0,5,1,1,0,0,0,1,7.394907,6.641155
11.05769,1.112235,12,1,0,0,0,8,9,12,0,5,1,1,0,0,0,1,6.053333,6.125471
7.960199,1.088529,11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,6.641155,5.851309
12.73585,3.54264,12,1,0,0,0,10,12,12,1,2,1,1,0,0,0,1,5.851309,6.053333
12.23092,-0.0316967,12,1,0,0,0,13,12,14,1,0,1,1,0,0,0,1,7.394907,7.394907
19.74026,1.890898,9,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,6.053333,6.125471
23.68421,4.802668,16,0,1,0,0,7,16,17,0,2,1,1,0,0,0,1,7.394907,6.641155
17.82178,3.646205,14,1,0,0,0,8,16,18,0,2,1,1,0,0,0,1,6.641155,5.851309
11.34454,3.609689,13,1,0,0,0,10,10,12,0,3,0,1,0,0,0,1,6.641155,5.851309
13.1291,3.786006,15,0,0,1,0,8,13,12,0,0,1,0,0,0,1,1,15.00826,15.00826
15.69966,1.759616,11,0,0,0,1,13,12,12,0,2,1,1,0,0,0,1,7.833584,7.833584
7.591093,2.10501,12,1,0,0,0,8,12,12,0,3,1,1,0,0,0,1,15.17254,15.13789
11.38747,1.548639,14,1,0,0,0,6,12,12,0,2,1,1,0,0,0,1,13.93464,15.17254
14.95163,2.905734,18,1,0,0,0,3,16,17,0,2,1,1,0,0,0,1,14.46297,13.93464
22.43437,2.492563,16,1,0,0,0,11,12,12,0,1,1,1,0,0,0,1,15.08226,15.08226
15.57789,2.936283,14,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,13.93464,15.17254
24.80916,4.194712,17,0,0,1,0,8,10,16,0,1,1,1,0,0,0,1,15.08226,15.08226
13.12649,5.898935,17,1,0,0,0,3,20,16,0,1,1,1,0,0,0,1,13.93464,15.17254
13.91304,2.87161,16,1,0,0,0,5,16,17,0,1,1,1,0,0,0,1,14.46297,13.93464
12,-0.7882329,12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226
60.89457,3.286462,15,1,0,0,0,12,13,20,0,1,1,1,0,0,0,1,15.08226,15.08226
12.8626,3.255798,14,0,0,1,0,10,16,16,0,1,1,1,0,0,0,0,15.08226,15.00826
10.52632,-1.925979,8,1,0,0,0,14,9,10,1,2,1,1,0,0,0,1,14.46297,13.93464
12.84797,2.321783,15,1,0,0,0,7,12,12,0,2,1,1,0,0,0,1,14.46297,14.46297
16.96676,2.813435,12,1,0,0,0,12,12,16,0,3,1,1,0,0,0,1,15.08226,15.00826
15.02732,4.559115,15,1,0,0,0,7,12,16,0,3,1,1,0,0,0,1,14.46297,13.93464
67.07992,2.757675,15,1,0,0,0,12,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226
8.413462,0.7897384,15,1,0,0,0,5,12,8,0,2,1,1,0,0,0,1,13.93464,15.17254
4.864636,2.151329,13,1,0,0,0,10,10,14,0,3,0,1,0,0,0,1,15.00826,14.46297
5.764967,0.5502259,12,1,0,0,0,8,10,15,0,3,1,1,0,0,0,1,13.93464,15.17254
4.637437,-0.3780224,10,1,0,0,0,13,9,9,0,7,1,1,0,0,0,1,15.08226,15.00826
18.26923,3.52669,14,1,0,0,0,7,12,12,0,3,0,1,0,0,0,1,14.46297,13.93464
11.48148,2.178751,12,1,0,0,0,14,12,12,0,3,1,1,0,0,0,0,15.08226,15.08226
16,4.1021,16,0,0,0,1,5,12,12,0,3,1,1,0,0,0,1,13.93464,15.17254
11.07438,2.354122,19,0,0,0,1,7,13,8,1,4,1,1,0,0,0,1,15.08226,15.08226
6.134969,-1.869518,8,1,0,0,0,15,16,8,1,4,1,1,0,0,0,1,15.08226,15.00826
7.698888,-0.7081801,11,1,0,0,0,9,8,12,1,2,1,1,0,0,0,1,13.93464,15.17254
9.163803,2.466771,12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226
