educ,cigpric,white,age,income,cigs,restaurn
16,60.506,1,46,20000,0,0
16,57.883,1,40,30000,0,0
12,57.664,1,58,30000,3,0
13.5,57.883,1,30,20000,0,0
10,58.32,1,17,20000,0,0
6,59.34,1,86,6500,0,0
12,57.883,1,35,20000,0,0
15,57.883,1,48,30000,0,0
12,59.195,1,48,20000,0,0
12,58.028,1,31,20000,0,0
13.5,57.883,1,27,30000,10,0
12,60.288,1,24,20000,20,0
10,57.883,1,71,8500,30,0
6,58.028,1,44,30000,0,0
16,60.746,1,22,30000,0,0
12,60.071,1,29,20000,20,0
12,60.282,1,33,20000,0,0
12,60.704,1,34,20000,30,0
13.5,59.86,1,30,8500,0,0
10,60.324,0,48,30000,20,0
6,59.045,1,61,5500,0,0
18,60.294,1,49,30000,0,0
12,59.045,1,33,20000,0,0
16,60.632,1,24,30000,0,1
16,61.744,1,36,30000,0,1
15,60.862,1,39,20000,12,1
18,61.399,1,38,30000,0,1
12,60.823,1,29,30000,30,1
18,62.012,1,23,12500,0,1
16,61.322,0,51,20000,0,1
13.5,62.089,1,28,20000,0,1
10,61.015,1,47,12500,30,1
10,62.489,1,80,12500,0,1
10,61.667,1,62,30000,2,1
10,62.012,1,51,12500,0,1
10,61.667,1,51,20000,35,1
12,61.053,1,69,12500,0,1
12,61.092,1,28,8500,0,1
18,61.974,1,38,20000,0,1
15,61.168,1,30,30000,0,1
18,60.862,1,32,30000,25,1
8,61.629,0,71,12500,0,1
10,62.489,1,18,20000,0,1
13.5,62.089,1,26,8500,15,1
10,61.744,1,30,20000,20,1
12,60.67,1,19,3500,0,1
12,61.168,1,19,6500,20,1
13.5,61.245,1,21,1500,0,1
16,62.089,1,44,20000,0,1
10,60.555,1,69,30000,30,1
16,60.555,1,53,20000,0,1
8,62.241,1,53,12500,20,1
6,61.705,1,38,6500,10,1
10,60.555,1,49,30000,20,1
18,61.437,1,24,20000,0,1
16,61.322,1,57,8500,0,1
15,61.168,1,28,20000,0,1
12,61.207,1,32,20000,20,1
13.5,60.823,1,55,20000,0,1
13.5,60.632,1,47,30000,0,1
13.5,60.785,1,26,20000,0,1
10,60.555,1,26,6500,20,1
16,60.708,0,61,30000,0,1
10,60.67,1,48,20000,0,1
18,62.736,1,32,30000,0,1
16,62.089,1,29,12500,0,1
18,62.571,0,47,30000,0,1
10,60.708,0,62,20000,0,1
16,62.159,0,30,8500,0,1
13.5,61.667,1,21,20000,0,1
12,61.207,1,28,2500,0,1
12,61.053,1,50,30000,20,1
12,61.475,1,69,6500,0,1
13.5,61.629,1,37,20000,60,1
12,61.744,0,40,30000,20,1
6,61.437,1,47,20000,3,1
10,61.936,1,78,2500,0,1
18,61.744,1,38,30000,0,1
13.5,62.489,1,25,30000,0,1
12,61.322,1,67,8500,0,1
13.5,60.9,1,50,30000,12,1
13.5,61.552,1,47,30000,0,1
8,62.489,1,76,6500,0,1
8,60.785,1,28,30000,0,1
12,61.514,0,32,20000,0,1
12,61.897,0,28,20000,0,1
12,61.168,1,53,30000,20,1
12,60.823,1,57,20000,0,1
18,61.59,1,42,30000,0,1
15,61.092,1,49,12500,0,1
18,61.782,1,31,20000,25,1
12,61.437,1,20,8500,0,1
18,61.897,1,45,20000,40,1
18,60.555,0,63,30000,0,1
15,61.705,1,61,30000,0,1
13.5,61.859,0,35,12500,30,1
6,61.705,1,59,12500,0,1
10,62.654,0,17,8500,0,1
18,62.736,1,38,30000,0,1
13.5,61.245,1,41,30000,0,1
12,61.897,1,35,30000,0,1
12,61.59,0,40,30000,0,1
13.5,62.571,1,37,30000,0,1
12,62.406,0,27,5500,13,1
12,60.862,1,48,20000,0,1
12,62.089,0,18,30000,0,1
12,60.862,0,43,20000,0,1
10,62.012,1,20,3500,0,1
8,60.823,1,19,12500,1,1
13.5,60.708,1,22,12500,0,1
16,60.708,1,60,20000,0,1
13.5,61.744,1,47,30000,0,1
10,61.629,0,77,20000,0,1
13.5,61.36,1,26,20000,0,1
12,62.654,0,37,20000,20,1
13.5,62.159,0,40,30000,15,1
6,61.284,0,44,8500,0,1
6,62.012,1,65,2500,0,1
16,60.9,1,26,30000,0,1
8,60.862,0,77,20000,0,1
12,61.207,0,73,12500,0,1
10,60.938,1,64,30000,0,1
13.5,61.629,1,28,30000,0,1
13.5,60.862,1,26,30000,20,1
10,61.092,1,64,20000,20,1
12,61.667,1,29,6500,0,1
12,61.974,1,55,20000,40,1
12,62.736,1,54,30000,0,1
15,61.207,1,42,20000,10,1
13.5,62.736,0,70,12500,0,1
16,61.284,1,71,20000,0,1
12,61.744,1,24,30000,0,1
10,61.859,1,38,20000,20,1
15,61.936,1,73,6500,0,1
18,60.823,1,29,30000,0,1
13.5,60.555,1,24,20000,0,1
12,61.437,1,25,8500,0,1
15,62.089,1,22,20000,0,1
12,61.475,1,36,12500,5,1
12,53.624,1,28,20000,0,0
13.5,53.313,1,27,6500,40,0
13.5,55.185,1,28,4500,8,0
12,53.382,1,53,20000,0,0
13.5,54.984,1,23,30000,15,0
12,53.969,1,19,12500,15,0
15,54.314,0,25,20000,0,0
13.5,54.648,0,34,12500,20,0
13.5,54.141,1,20,30000,0,0
10,54.314,1,17,20000,0,0
16,66.587,1,51,30000,20,1
12,65.29,1,44,30000,30,1
12,65.29,1,29,20000,60,1
8,66.088,1,65,30000,0,1
12,65.29,1,53,30000,0,1
8,67.933,0,46,20000,0,1
18,65.29,1,51,30000,0,1
18,65.54,1,66,30000,0,1
8,64.991,0,42,20000,0,1
16,65.141,1,32,8500,40,1
13.5,66.437,1,53,30000,25,1
8,66.038,1,70,30000,0,1
10,65.889,1,30,20000,30,1
18,65.889,1,42,30000,0,1
12,66.537,1,69,30000,0,1
10,66.437,1,18,5500,0,1
12,68.184,1,22,12500,10,1
6,66.687,0,38,20000,40,1
10,66.437,1,52,20000,20,1
10,65.141,0,17,30000,0,1
12,65.041,1,46,20000,0,1
16,66.587,1,46,30000,0,1
12,66.038,0,35,30000,0,1
12,66.338,1,22,30000,16,1
12,61.546,1,54,20000,20,0
12,61.184,1,58,12500,40,0
10,62.012,1,27,12500,15,0
18,61.184,1,47,20000,40,0
16,62.012,1,53,30000,40,0
12,65.082,1,29,8500,10,0
13.5,67.82,1,29,8500,0,0
13.5,68.2,1,47,30000,0,0
8,69.402,0,67,30000,10,0
18,69.402,0,31,30000,0,0
12,67.124,1,27,8500,0,0
12,68.263,1,34,3500,0,0
10,68.516,1,25,20000,0,0
12,67.82,1,46,20000,30,0
16,67.82,0,50,12500,50,0
6,67.757,1,69,8500,0,0
13.5,67.82,1,32,12500,0,0
12,67.693,1,64,8500,0,0
15,67.947,1,30,20000,0,0
8,68.073,1,78,12500,0,0
13.5,69.149,1,46,12500,0,0
13.5,69.529,1,49,30000,60,0
12,70.014,1,30,12500,0,0
10,68.833,0,23,2500,20,0
12,69.402,1,27,20000,15,0
18,68.39,1,28,30000,20,0
10,69.592,1,26,5500,30,0
6,67.693,1,44,12500,0,0
13.5,69.402,1,54,30000,30,0
12,69.841,1,54,8500,0,0
12,69.899,1,66,6500,13,0
18,67.883,1,49,30000,0,0
16,67.44,0,77,6500,0,0
12,68.896,1,74,12500,0,0
18,69.465,0,69,30000,0,0
13.5,68.643,1,78,30000,0,0
13.5,68.39,1,57,30000,20,0
8,70.129,1,53,8500,0,0
16,67.314,1,88,30000,0,0
12,67.187,1,79,20000,0,0
12,57.473,1,21,8500,0,0
18,58.094,1,30,8500,0,0
18,57.473,1,39,30000,0,0
15,59.852,1,25,500,9,0
10,59.13,1,58,20000,0,0
13.5,59.13,1,23,30000,15,0
16,59.233,1,30,20000,28,0
10,57.939,1,31,8500,40,0
16,57.473,1,31,20000,0,0
16,58.094,1,50,20000,0,0
8,58.508,1,20,12500,0,0
13.5,57.11,0,24,12500,0,0
12,61.988,1,33,20000,0,0
16,63.556,1,39,30000,0,0
13.5,57.466,0,19,30000,0,0
12,59.43,1,31,20000,20,0
13.5,60.042,1,40,30000,50,0
16,59.492,1,39,12500,0,0
15,59.676,1,23,5500,7,0
8,58.632,0,71,8500,0,0
6,58.08,1,54,6500,0,0
10,58.51,0,33,12500,20,0
18,60.221,1,30,30000,0,0
12,57.835,1,31,8500,20,0
18,60.518,1,46,30000,0,0
12,59.921,1,75,20000,0,0
8,58.264,1,40,30000,20,0
12,59.43,1,66,12500,0,0
18,59.492,1,45,30000,40,0
8,59.246,1,73,8500,0,0
12,57.712,1,31,20000,30,0
13.5,58.264,1,27,30000,0,0
10,58.632,0,50,20000,0,0
12,57.712,1,45,30000,0,0
12,58.264,0,22,30000,30,0
13.5,59.246,0,44,30000,0,0
10,58.51,1,51,30000,5,0
6,58.816,1,59,3500,0,0
10,58.448,1,59,20000,0,0
12,57.65,1,66,8500,0,0
13.5,59.246,1,35,30000,3,0
10,57.65,0,17,20000,15,0
12,59.553,1,35,20000,0,0
16,59.614,1,30,30000,0,0
12,59.43,1,23,30000,0,0
8,58.141,1,60,8500,0,0
18,59.246,1,27,20000,0,0
16,57.65,1,37,20000,0,0
15,57.957,0,42,20000,0,0
8,59.921,1,87,3500,0,0
13.5,59.614,1,26,20000,20,0
12,57.405,1,20,12500,15,0
10,58.878,1,65,12500,0,0
12,59.614,1,35,30000,20,0
18,59.001,0,38,30000,0,0
10,59.185,1,64,20000,20,0
10,58.264,1,62,8500,0,0
12,58.694,1,47,20000,1,0
10,58.08,1,52,30000,20,0
13.5,58.571,0,32,12500,0,0
16,58.448,1,26,20000,15,0
18,59.553,1,35,20000,0,0
16,57.712,1,35,30000,0,0
10,59.062,1,24,12500,0,0
8,59.43,1,77,20000,1,0
13.5,58.141,1,24,4500,20,0
8,53.325,1,63,20000,20,0
18,53.049,0,58,20000,0,0
10,52.888,1,69,3500,0,0
13.5,54.381,0,62,12500,50,0
12,53.67,1,27,12500,0,0
13.5,53.049,1,30,20000,20,0
10,52.796,1,51,30000,0,0
12,53.118,1,32,12500,0,0
10,52.819,1,51,30000,20,0
6,53.647,1,53,20000,0,0
13.5,53.509,0,20,20000,0,0
13.5,53.279,0,22,12500,40,0
16,52.819,1,24,30000,0,0
12,53.256,1,23,6500,0,0
12,52.819,1,65,30000,0,0
8,53.233,1,21,20000,20,0
8,52.98,1,19,1500,0,0
10,53.509,1,24,12500,20,0
12,53.325,1,34,20000,30,0
10,52.819,1,54,8500,6,0
18,58.142,1,50,20000,15,0
13.5,57.912,1,65,8500,20,0
12,56.9,1,33,20000,20,0
8,57.682,1,69,8500,0,0
15,59.235,1,26,12500,30,0
8,57.682,1,69,8500,0,0
12,56.9,1,59,30000,20,0
12,57.677,1,35,12500,20,0
6,58.378,1,54,8500,0,0
13.5,55.596,0,28,12500,0,0
12,55.596,0,28,20000,15,0
10,45.283,1,77,3500,30,0
12,44.059,1,64,20000,0,0
10,45.561,1,52,4500,40,0
10,45.283,1,21,1500,30,0
10,45.839,1,46,30000,0,0
12,45.227,1,24,20000,0,0
12,45.839,1,31,8500,30,0
12,44.004,1,26,8500,0,0
10,45.784,1,79,4500,0,0
12,46.521,1,53,30000,30,0
12,58.149,1,32,12500,40,0
15,60.235,1,21,5500,0,0
15,58.983,1,18,20000,0,0
13.5,59.428,1,30,12500,0,0
12,59.372,1,20,20000,15,0
8,56.904,1,69,12500,40,0
8,58.053,1,59,30000,20,0
12,57.069,1,56,30000,30,0
18,57.179,1,43,30000,0,0
10,57.434,1,40,30000,40,0
16,58.795,1,37,30000,0,0
10,58.255,1,36,12500,0,0
13.5,58.795,1,28,30000,40,0
12,57.871,1,33,30000,0,0
16,57.288,1,63,20000,0,0
